Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
CUERNAVACA-ACAPULCO,PALO BLANCO,239.00,239.00,239.00,315.00,315.00,352.00,352.00,352.00
CUERNAVACA-ACAPULCO,LA VENTA,224.00,224.00,224.00,306.00,306.00,342.00,342.00,342.00
LIBRAMIENTO PONIENTE DE ACAPULCO,LA VENTA BIS,94.00,94.00,94.00,119.00,119.00,134.00,134.00,134.00
ZACAPALCO-RANCHO VIEJO,ZACAPALCO,87.00,87.00,87.00,131.00,131.00,186.00,186.00,186.00
RANCHO VIEJO-TAXCO,TAXCO,34.00,34.00,57.00,57.00,70.00,70.00,70.00,70.00
PUENTE DE IXTLA-IGUALA,IGUALA,216.00,216.00,216.00,397.00,397.00,544.00,544.00,544.00
TÚNEL ACAPULCO,LAS CRUCES,557.00,557.00,557.00,557.00,557.00,557.00,557.00,557.00
MACROTÚNEL ACAPULCO,CAYACO,-,-,-,-,-,-,-,-
LIBRAMIENTO TECPAN,LIBRAMIENTO TECPAN,92.00,92.00,92.00,138.00,138.00,183.00,183.00,183.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,263.00,263.00,263.00,422.00,422.00,516.00,516.00,516.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,199.00,199.00,199.00,340.00,340.00,413.00,413.00,413.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,335.00,335.00,335.00,458.00,458.00,549.00,549.00,549.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,216.00,216.00,216.00,308.00,308.00,378.00,378.00,378.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,124.00,124.00,124.00,209.00,209.00,250.00,250.00,250.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,129.00,129.00,129.00,181.00,181.00,216.00,216.00,216.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,105.00,105.00,105.00,216.00,216.00,290.00,290.00,290.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO,120.00,120.00,120.00,164.00,164.00,196.00,196.00,196.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO (EL VADO),61.00,61.00,61.00,124.00,124.00,165.00,165.00,165.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO (EL CORTIJO),38.00,38.00,38.00,80.00,80.00,105.00,105.00,105.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO (PERIFÉRICO),35.00,35.00,35.00,71.00,71.00,95.00,95.00,95.00
ZAPOTLANEJO-GUADALAJARA,ZAPOTLANEJO (ARROYO DE EN MEDIO),23.00,23.00,23.00,49.00,49.00,64.00,64.00,64.00
LIBRAMIENTO SUR DE GUADALAJARA,LIB. SUR DE GUADALAJARA,113.00,113.00,113.00,175.00,175.00,190.00,190.00,190.00
LIBRAMIENTO SUR DE GUADALAJARA,LIB. SUR DE GUADALAJARA,12.00,12.00,12.00,19.00,19.00,19.00,19.00,19.00
LIBRAMIENTO SUR DE GUADALAJARA,CHAPALA,141.00,141.00,141.00,217.00,217.00,244.00,244.00,244.00
LIBRAMIENTO SUR DE GUADALAJARA,SANTA CECILIA,356.00,356.00,356.00,539.00,539.00,596.00,596.00,596.00
LIBRAMIENTO SUR DE GUADALAJARA,SANTA CECILIA,267.00,267.00,267.00,416.00,416.00,457.00,457.00,457.00
LIBRAMIENTO SUR DE GUADALAJARA,SANTA CECILIA,13.00,13.00,13.00,39.00,39.00,43.00,43.00,43.00
GUADALAJARA-COLIMA,ACATLAN II,171.00,171.00,171.00,285.00,285.00,377.00,377.00,377.00
GUADALAJARA-COLIMA,SAYULA,132.00,132.00,132.00,213.00,213.00,286.00,286.00,286.00
GUADALAJARA-COLIMA,SAYULA REMOTA,54.00,54.00,54.00,110.00,110.00,139.00,139.00,139.00
GUADALAJARA-COLIMA,SAN MARCOS II,302.00,302.00,302.00,499.00,499.00,662.00,662.00,662.00
ARMERÍA-MANZANILLO,ARMERIA,392.00,483.00,590.00,662.00,803.00,909.00,1002.00,1047.00
GUADALAJARA-TEPIC,ARENAL,254.00,254.00,254.00,377.00,377.00,414.00,414.00,414.00
GUADALAJARA-TEPIC,ARENAL,57.00,57.00,57.00,75.00,75.00,82.00,82.00,82.00
GUADALAJARA-TEPIC,PLAN DE BARRANCAS,337.00,337.00,337.00,544.00,544.00,613.00,613.00,613.00
GUADALAJARA-TEPIC,STA. MA. DEL ORO,244.00,244.00,244.00,373.00,373.00,410.00,410.00,410.00
GUADALAJARA-TEPIC,STA. MA. DEL ORO,123.00,123.00,123.00,184.00,184.00,210.00,210.00,210.00
GUADALAJARA-TEPIC,STA. MA. DEL ORO,118.00,118.00,118.00,187.00,187.00,201.00,201.00,201.00
LIBRAMIENTO TEPIC,LA CANTERA,118.00,118.00,118.00,184.00,184.00,203.00,203.00,203.00
TEPIC-SAN BLAS,SAN BLAS,226.00,226.00,226.00,339.00,339.00,451.00,451.00,451.00
TEPIC-SAN BLAS,SAN BLAS,147.00,147.00,147.00,221.00,221.00,295.00,295.00,295.00
LAS VARAS- PUERTO VALLARTA,LA PEÑITA,356.00,356.00,356.00,450.00,450.00,601.00,601.00,601.00
LAS VARAS- PUERTO VALLARTA,LA PEÑITA,235.00,235.00,235.00,298.00,298.00,397.00,397.00,397.00
LAS VARAS- PUERTO VALLARTA,LA PEÑITA,139.00,139.00,139.00,176.00,176.00,235.00,235.00,235.00
LAS VARAS- PUERTO VALLARTA,BUCERÍAS AUX. 1,472.00,472.00,472.00,597.00,597.00,798.00,798.00,798.00
LAS VARAS- PUERTO VALLARTA,BUCERÍAS AUX. 2,472.00,472.00,472.00,597.00,597.00,798.00,798.00,798.00
LAS VARAS- PUERTO VALLARTA,VALLARTA,494.00,494.00,494.00,808.00,808.00,971.00,971.00,971.00
LAS VARAS- PUERTO VALLARTA,VALLARTA,966.00,966.00,966.00,1405.00,1405.00,1769.00,1769.00,1769.00
CHAPALILLA-COMPOSTELA,COMPOSTELA,81.00,81.00,156.00,156.00,216.00,216.00,216.00,216.00
JALA-COMPOSTELA,AMADO NERVO,248.00,248.00,465.00,465.00,643.00,643.00,643.00,643.00
JALA-COMPOSTELA,AMADO NERVO,199.00,199.00,374.00,374.00,517.00,517.00,517.00,517.00
JALA-COMPOSTELA,AMADO NERVO,75.00,75.00,139.00,139.00,190.00,190.00,190.00,190.00
JALA-COMPOSTELA,COMPOSTELA,124.00,124.00,235.00,235.00,327.00,327.00,327.00,327.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
TEPIC-MAZATLÁN,TRAPICHILLO BIS,55.00,55.00,55.00,90.00,90.00,125.00,125.00,125.00
TEPIC-MAZATLÁN,TRAPICHILLO,230.00,230.00,230.00,400.00,400.00,570.00,570.00,570.00
TEPIC-MAZATLÁN,YAGO,110.00,110.00,110.00,195.00,195.00,250.00,250.00,250.00
TEPIC-MAZATLÁN,ESTACION RUIZ,320.00,320.00,320.00,550.00,550.00,740.00,740.00,740.00
TEPIC-MAZATLÁN,ESTACION RUIZ,125.00,125.00,125.00,195.00,195.00,270.00,270.00,270.00
TEPIC-MAZATLÁN,ACAPONETA,690.00,690.00,690.00,1160.00,1160.00,1590.00,1590.00,1590.00
TEPIC-MAZATLÁN,ACAPONETA,345.00,345.00,345.00,580.00,580.00,795.00,795.00,795.00
TEPIC-MAZATLÁN,ROSARIO,390.00,390.00,390.00,590.00,590.00,720.00,720.00,720.00
TEPIC-MAZATLÁN,ROSARIO,195.00,195.00,195.00,295.00,295.00,360.00,360.00,360.00
LIBRAMIENTO MAZATLÁN,VAINILLO,122.00,122.00,122.00,138.00,138.00,175.00,175.00,175.00
LIBRAMIENTO MAZATLÁN,VAINILLO,108.00,108.00,108.00,116.00,116.00,148.00,148.00,148.00
LIBRAMIENTO MAZATLÁN,VAINILLO,44.00,44.00,44.00,52.00,52.00,65.00,65.00,65.00
MAZATLÁN-CULIACAN,MARMOL,346.00,346.00,346.00,386.00,386.00,504.00,504.00,504.00
MAZATLÁN-CULIACAN,COSTA RICA,368.00,368.00,368.00,418.00,418.00,525.00,525.00,525.00
MAZATLÁN-CULIACAN,QUILA,368.00,368.00,368.00,418.00,418.00,525.00,525.00,525.00
MAZATLÁN-CULIACAN,QUILA,275.00,275.00,275.00,286.00,286.00,387.00,387.00,387.00
MAZATLÁN-CULIACAN,QUILA,93.00,93.00,93.00,132.00,132.00,138.00,138.00,138.00
LIBRAMIENTO CULIACAN,SAN PEDRO,87.00,87.00,87.00,97.00,97.00,126.00,126.00,126.00
PUENTE NACIONAL CULIACAN,CULIACAN,47.00,47.00,100.00,100.00,146.00,146.00,146.00,146.00
PUENTE NACIONAL SINALOA,SINALOA,47.00,47.00,100.00,100.00,146.00,146.00,146.00,146.00
LIBRAMIENTO CIUDAD OBREGON,ESPERANZA-HORNOS,410.00,410.00,410.00,614.00,614.00,708.00,708.00,708.00
LIBRAMIENTO CIUDAD OBREGON,ESPERANZA-HORNOS,253.00,253.00,253.00,380.00,380.00,438.00,438.00,438.00
ESTACION DON - NOGALES,ESTACION DON,174.00,174.00,174.00,262.00,262.00,301.00,301.00,301.00
ESTACION DON - NOGALES,FUNDICIÓN,174.00,174.00,174.00,262.00,262.00,301.00,301.00,301.00
ESTACION DON - NOGALES,ESPERANZA,174.00,174.00,174.00,262.00,262.00,301.00,301.00,301.00
ESTACION DON - NOGALES,GUAYMAS,98.00,98.00,98.00,143.00,143.00,171.00,171.00,171.00
ESTACION DON - NOGALES,HERMOSILLO,174.00,174.00,174.00,262.00,262.00,314.00,314.00,314.00
ESTACION DON - NOGALES,MAGDALENA,58.00,58.00,58.00,90.00,90.00,116.00,116.00,116.00
LIBRAMIENTO HERMOSILLO,SAHUARIPA,163.00,163.00,163.00,244.00,244.00,281.00,281.00,281.00
LIBRAMIENTO HERMOSILLO,SAHUARIPA,331.00,331.00,331.00,497.00,497.00,573.00,573.00,573.00
LIBRAMIENTO HERMOSILLO,SAHUARIPA,169.00,169.00,169.00,253.00,253.00,291.00,291.00,291.00
DURANGO-MAZATLÁN,MESILLAS,397.00,397.00,586.00,586.00,802.00,802.00,802.00,802.00
DURANGO-MAZATLÁN,MESILLAS,300.00,300.00,435.00,435.00,585.00,585.00,585.00,585.00
DURANGO-MAZATLÁN,MESILLAS,100.00,100.00,151.00,151.00,217.00,217.00,217.00,217.00
DURANGO-MAZATLÁN,COSCOMATE,756.00,756.00,1112.00,1112.00,1524.00,1524.00,1524.00,1524.00
DURANGO-MAZATLÁN,LLANO GRANDE,239.00,239.00,353.00,353.00,482.00,482.00,482.00,482.00
DURANGO-MAZATLÁN,DURANGO CAPUFE,161.00,161.00,234.00,234.00,322.00,322.00,322.00,322.00
DURANGO-YERBANIS,DURANGO,262.00,341.00,341.00,500.00,500.00,665.00,665.00,665.00
YERBANIS-GOMEZ PALACIO,YERBANIS,301.00,392.00,392.00,574.00,574.00,765.00,765.00,765.00
YERBANIS-GOMEZ PALACIO,CUENCAME,280.00,380.00,380.00,541.00,541.00,689.00,689.00,689.00
YERBANIS-GOMEZ PALACIO,CUENCAME,171.00,235.00,235.00,336.00,336.00,396.00,396.00,396.00
YERBANIS-GOMEZ PALACIO,CUENCAME,109.00,145.00,145.00,205.00,205.00,293.00,293.00,293.00
YERBANIS-GOMEZ PALACIO,LEÓN GUZMÁN,425.00,545.00,545.00,801.00,801.00,1041.00,1041.00,1041.00
YERBANIS-GOMEZ PALACIO,LEÓN GUZMÁN,311.00,400.00,400.00,584.00,584.00,764.00,764.00,764.00
YERBANIS-GOMEZ PALACIO,LEÓN GUZMÁN,114.00,145.00,145.00,217.00,217.00,277.00,277.00,277.00
LIBRAMIENTO NORTE DE LA LAGUNA,SAN PEDRO TORREÓN,218.00,283.00,283.00,415.00,415.00,553.00,553.00,553.00
LIBRAMIENTO NORTE DE LA LAGUNA,SAN PEDRO TORREÓN,125.00,162.00,162.00,237.00,237.00,317.00,317.00,317.00
LIBRAMIENTO NORTE DE LA LAGUNA,SAN PEDRO TORREÓN,93.00,121.00,121.00,178.00,178.00,236.00,236.00,236.00
TORREON -SALTILLO,LA CUCHILLA,145.00,145.00,145.00,212.00,212.00,241.00,241.00,241.00
TORREON -SALTILLO,PLAN DE AYALA,245.00,245.00,245.00,337.00,337.00,382.00,382.00,382.00
GOMEZ PALACIO-CORRALITOS-AUTOPISTA U,BERMEJILLOS,196.00,196.00,196.00,330.00,330.00,379.00,379.00,379.00
GOMEZ PALACIO-CORRALITOS-AUTOPISTA U,CEBALLOS,209.00,209.00,209.00,337.00,337.00,369.00,369.00,369.00
LIBRAMIENTO ORIENTE DE CHIHUAHUA,SACRAMENTO,74.00,74.00,74.00,123.00,123.00,151.00,151.00,151.00
LIBRAMIENTO ORIENTE DE CHIHUAHUA,JIMENEZ,74.00,74.00,74.00,123.00,123.00,149.00,149.00,149.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,149.00,149.00,149.00,265.00,265.00,275.00,275.00,275.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,102.00,102.00,102.00,181.00,181.00,186.00,186.00,186.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,47.00,47.00,47.00,84.00,84.00,89.00,89.00,89.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,118.00,118.00,118.00,221.00,221.00,230.00,230.00,230.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,67.00,67.00,67.00,129.00,129.00,133.00,133.00,133.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,51.00,51.00,51.00,92.00,92.00,97.00,97.00,97.00
MONTERREY-SALTILLO Y LIBRAMIENTO,PERIFERICO,294.00,294.00,294.00,532.00,532.00,555.00,555.00,555.00
MONTERREY-SALTILLO Y LIBRAMIENTO,PERIFERICO,178.00,178.00,178.00,322.00,322.00,335.00,335.00,335.00
MONTERREY-SALTILLO Y LIBRAMIENTO NOR,APLETRIILFLEORICO,116.00,116.00,116.00,210.00,210.00,220.00,220.00,220.00
LIBRAMIENTO ORIENTE DE SALTILLO,LA CARBONERA,-,-,-,-,-,-,-,-
LA CARBONERA-PUERTO MEXICO,LOS CHORROS,179.00,179.00,179.00,279.00,279.00,347.00,347.00,347.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
LA CARBONERA-PUERTO MEXICO,HUACHICHIL,162.00,162.00,162.00,219.00,219.00,276.00,276.00,276.00
LIBRAMIENTO MATEHUALA,LIBRAMIENTO MATEHUALA,70.00,70.00,70.00,132.00,132.00,195.00,195.00,195.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,236.00,236.00,236.00,573.00,573.00,1377.00,1377.00,1377.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,150.00,150.00,150.00,350.00,350.00,835.00,835.00,835.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,101.00,101.00,101.00,229.00,229.00,539.00,539.00,539.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,72.00,72.00,72.00,169.00,169.00,396.00,396.00,396.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,45.00,45.00,45.00,108.00,108.00,256.00,256.00,256.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,218.00,218.00,218.00,535.00,535.00,971.00,971.00,971.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,134.00,134.00,134.00,331.00,331.00,583.00,583.00,583.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,90.00,90.00,90.00,212.00,212.00,386.00,386.00,386.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YJUÁREZ,201.00,201.00,201.00,496.00,496.00,1040.00,1040.00,1040.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YJUÁREZ,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
MONTERREY-CADEREYTA,CADEREYTA,159.00,159.00,159.00,307.00,307.00,382.00,457.00,526.00
MONTERREY-CADEREYTA,GUADALUPE,162.00,162.00,162.00,310.00,310.00,388.00,464.00,538.00
MONTERREY-CADEREYTA,GUADALUPE,119.00,119.00,119.00,235.00,235.00,287.00,342.00,400.00
PUENTE CADEREYTA,CADEREYTA,20.00,20.00,28.00,28.00,37.00,37.00,37.00,37.00
AGUJITA-ALLENDE,AGUJITA-ALLENDE,230.00,230.00,230.00,325.00,325.00,360.00,360.00,360.00
PUENTE ACUÑA,ACUÑA,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
MONTERREY-NUEVO LAREDO,SABINAS,440.00,440.00,440.00,600.00,600.00,689.00,689.00,689.00
MONTERREY-NUEVO LAREDO,AGUALEGUAS,179.00,179.00,179.00,223.00,223.00,256.00,256.00,256.00
MONTERREY-NUEVO LAREDO,PARÁS,244.00,244.00,244.00,328.00,328.00,374.00,374.00,374.00
MONTERREY-NUEVO LAREDO,PARÁS,199.00,199.00,199.00,276.00,276.00,314.00,314.00,314.00
MONTERREY-NUEV LAREDO (LA GLORIA-SAN,N)UEVO LAREDO PINFRA,181.00,181.00,181.00,245.00,245.00,279.00,279.00,279.00
CADEREYTA-REYNOSA,GENERAL BRAVO,427.00,427.00,427.00,639.00,639.00,708.00,708.00,708.00
CADEREYTA-REYNOSA,GENERAL BRAVO,198.00,198.00,198.00,301.00,301.00,314.00,314.00,314.00
CADEREYTA-REYNOSA,LOS HERRERA,250.00,250.00,250.00,381.00,381.00,405.00,405.00,405.00
CADEREYTA-REYNOSA,LOS HERRERA,178.00,178.00,178.00,256.00,256.00,307.00,307.00,307.00
CADEREYTA-REYNOSA,LOS RAMONES,318.00,318.00,318.00,495.00,495.00,530.00,530.00,530.00
CADEREYTA-REYNOSA,LOS RAMONES,115.00,115.00,115.00,145.00,145.00,179.00,179.00,179.00
CADEREYTA-REYNOSA,DR. COSS,232.00,232.00,232.00,339.00,339.00,394.00,394.00,394.00
LIBRAMIENTO SUR II DE REYNOSA,LUCIO BLANCO,74.00,74.00,74.00,112.00,112.00,115.00,115.00,115.00
LIBRAMIENTO SUR II DE REYNOSA,SAN FERNANDO,41.00,41.00,41.00,64.00,64.00,68.00,68.00,68.00
PTE. INTERNACIONAL NUEVO AMANECER (RE,ARRERY)NOSA PHAR,95.00,95.00,95.00,196.00,196.00,312.00,312.00,312.00
PUENTE INTERNACIONAL LOS TOMATES,"IGNACIO ZARAGOZA ""LOS TOMATES""",95.00,95.00,95.00,196.00,196.00,312.00,312.00,312.00
REYNOSA-MATAMOROS,NVO PROGRESO,181.00,181.00,181.00,267.00,267.00,348.00,348.00,348.00
REYNOSA-MATAMOROS,NVO PROGRESO,90.00,90.00,90.00,136.00,136.00,172.00,172.00,172.00
PUENTE JUAREZ LINCOLN,JUAREZ-LINCOLN,70.00,140.00,140.00,233.00,233.00,233.00,233.00,16.00
PUENTE MIGUEL ALEMAN,MIGUEL ALEMAN,65.00,65.00,65.00,65.00,65.00,65.00,65.00,16.00
PUENTE SAN JUAN,SAN JUAN,33.00,33.00,53.00,53.00,75.00,75.00,75.00,75.00
PUENTE CAMARGO,CAMARGO,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE REYNOSA,REYNOSA,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE LAS FLORES,LAS FLORES,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE INTERNACIONAL OJINAGA,OJINAGA,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00
PUENTE MATAMOROS,MATAMOROS,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE PIEDRAS NEGRAS,PIEDRAS NEGRAS,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
LIBRAMIENTO MEXICALI,LIBRAMIENTO DE MEXICALI,199.00,199.00,199.00,287.00,287.00,338.00,338.00,338.00
LIBRAMIENTO MEXICALI,LIBRAMIENTO DE MEXICALI,57.00,57.00,57.00,88.00,88.00,96.00,96.00,96.00
LA RUMOROSA-TECATE,EL HONGO,101.00,101.00,166.00,166.00,234.00,234.00,234.00,234.00
LA RUMOROSA-TECATE,EL HONGO,184.00,184.00,330.00,330.00,476.00,476.00,476.00,476.00
TIJUANA-ENSENADA,TIJUANA,100.00,100.00,120.00,120.00,139.00,139.00,139.00,139.00
TIJUANA-ENSENADA,ROSARITO,100.00,100.00,120.00,120.00,139.00,139.00,139.00,139.00
TIJUANA-ENSENADA,NODO POPOTLA,86.00,86.00,103.00,103.00,119.00,119.00,119.00,119.00
